CustomerKey,ProductKey,OrderDateKey,CurrencyKey,SalesOrderNumber,SalesTerritoryKey,TaxAmt,Freight,SalesAmount,Year,Month,Day
11000,393,20190421,6,TO70843,9,272,85.00,3399.99,2019,4,21
11000,393,20190505,6,TO70843,9,272,85.00,3399.99,2019,5,5
11000,393,20190528,6,TO70843,9,272,85.00,3399.99,2019,5,28
11000,393,20190910,6,TO70843,9,272,85.00,3399.99,2019,9,10
11000,494,20190301,6,TO17301,9,272,85.00,3399.99,2019,3,1
11000,494,20190404,6,TO17301,9,272,85.00,3399.99,2019,4,4
11000,494,20190608,6,TO17301,9,272,85.00,3399.99,2019,6,8
11000,494,20190629,6,TO17301,9,272,85.00,3399.99,2019,6,29
11000,549,20190828,6,TO84892,9,272,85.00,3399.99,2019,8,28
11000,549,20191003,6,TO84892,9,272,85.00,3399.99,2019,10,3
11000,549,20191025,6,TO84892,9,272,85.00,3399.99,2019,10,25
11000,751,20190124,6,TO37809,9,272,85.00,3399.99,2019,1,24
11000,751,20190228,6,TO37809,9,272,85.00,3399.99,2019,2,28
11000,751,20190703,6,TO37809,9,272,85.00,3399.99,2019,7,3
11000,751,20200201,6,TO37809,9,272,85.00,3399.99,2020,2,1
11000,909,20190720,6,TO87977,9,272,85.00,3399.99,2019,7,20
11000,909,20190928,6,TO87977,9,272,85.00,3399.99,2019,9,28
11000,909,20190930,6,TO87977,9,272,85.00,3399.99,2019,9,30
11000,909,20191211,6,TO87977,9,272,85.00,3399.99,2019,12,11
11001,350,20190121,6,TO72012,9,270,84.37,3374.99,2019,1,21
11001,350,20190201,6,TO72012,9,270,84.37,3374.99,2019,2,1
11001,350,20190905,6,TO72012,9,270,84.37,3374.99,2019,9,5
11001,350,20190918,6,TO72012,9,270,84.37,3374.99,2019,9,18
11001,531,20190703,6,TO33737,9,270,84.37,3374.99,2019,7,3
11001,531,20190717,6,TO33737,9,270,84.37,3374.99,2019,7,17
11001,531,20191120,6,TO33737,9,270,84.37,3374.99,2019,11,20
11001,531,20191125,6,TO33737,9,270,84.37,3374.99,2019,11,25
11001,729,20190405,6,TO99713,9,270,84.37,3374.99,2019,4,5
11001,729,20190613,6,TO99713,9,270,84.37,3374.99,2019,6,13
11001,729,20191207,6,TO99713,9,270,84.37,3374.99,2019,12,7
11001,729,20191211,6,TO99713,9,270,84.37,3374.99,2019,12,11
11001,849,20190225,6,TO52637,9,270,84.37,3374.99,2019,2,25
11001,849,20190503,6,TO52637,9,270,84.37,3374.99,2019,5,3
11001,849,20190611,6,TO52637,9,270,84.37,3374.99,2019,6,11
11001,849,20190829,6,TO52637,9,270,84.37,3374.99,2019,8,29
11001,962,20190310,6,TO34141,9,270,84.37,3374.99,2019,3,10
11001,962,20190528,6,TO34141,9,270,84.37,3374.99,2019,5,28
11001,962,20190918,6,TO34141,9,270,84.37,3374.99,2019,9,18
11001,962,20191201,6,TO34141,9,270,84.37,3374.99,2019,12,1
11002,218,20190106,6,TO10774,9,272,85.00,3399.99,2019,1,6
11002,218,20190428,6,TO10774,9,272,85.00,3399.99,2019,4,28
11002,218,20190917,6,TO10774,9,272,85.00,3399.99,2019,9,17
11002,218,20190920,6,TO10774,9,272,85.00,3399.99,2019,9,20
11002,331,20190613,6,TO10233,9,272,85.00,3399.99,2019,6,13
11002,331,20190627,6,TO10233,9,272,85.00,3399.99,2019,6,27
11002,331,20190802,6,TO10233,9,272,85.00,3399.99,2019,8,2
11002,331,20191004,6,TO10233,9,272,85.00,3399.99,2019,10,4
11002,429,20190213,6,TO99267,9,272,85.00,3399.99,2019,2,13
11002,429,20190710,6,TO99267,9,272,85.00,3399.99,2019,7,10
11002,429,20191123,6,TO99267,9,272,85.00,3399.99,2019,11,23
11002,429,20191222,6,TO99267,9,272,85.00,3399.99,2019,12,22
11002,438,20190409,6,TO38879,9,272,85.00,3399.99,2019,4,9
11002,438,20190911,6,TO38879,9,272,85.00,3399.99,2019,9,11
11002,438,20191129,6,TO38879,9,272,85.00,3399.99,2019,11,29
11002,438,20191215,6,TO38879,9,272,85.00,3399.99,2019,12,15
11002,711,20190603,6,TO45780,9,272,85.00,3399.99,2019,6,3
11002,711,20190930,6,TO45780,9,272,85.00,3399.99,2019,9,30
11002,711,20191205,6,TO45780,9,272,85.00,3399.99,2019,12,5
11002,711,20200109,6,TO45780,9,272,85.00,3399.99,2020,1,9
11003,130,20190124,6,TO95896,9,272,85.00,3399.99,2019,1,24
11003,130,20190516,6,TO95896,9,272,85.00,3399.99,2019,5,16
11003,130,20190604,6,TO95896,9,272,85.00,3399.99,2019,6,4
11003,130,20191117,6,TO95896,9,272,85.00,3399.99,2019,11,17
11003,378,20190116,6,TO26801,9,272,85.00,3399.99,2019,1,16
11003,378,20190213,6,TO26801,9,272,85.00,3399.99,2019,2,13
11003,378,20190413,6,TO26801,9,272,85.00,3399.99,2019,4,13
11003,378,20190725,6,TO26801,9,272,85.00,3399.99,2019,7,25
11003,486,20190126,6,TO93835,9,272,85.00,3399.99,2019,1,26
11003,486,20190204,6,TO93835,9,272,85.00,3399.99,2019,2,4
11003,486,20190426,6,TO93835,9,272,85.00,3399.99,2019,4,26
11003,486,20191008,6,TO93835,9,272,85.00,3399.99,2019,10,8
11003,641,20190601,6,TO19293,9,272,85.00,3399.99,2019,6,1
11003,641,20191019,6,TO19293,9,272,85.00,3399.99,2019,10,19
11003,641,20191121,6,TO19293,9,272,85.00,3399.99,2019,11,21
11003,641,20200112,6,TO19293,9,272,85.00,3399.99,2020,1,12
11003,891,20190704,6,TO96850,9,272,85.00,3399.99,2019,7,4
11003,891,20190707,6,TO96850,9,272,85.00,3399.99,2019,7,7
11003,891,20200116,6,TO96850,9,272,85.00,3399.99,2020,1,16
11003,891,20200128,6,TO96850,9,272,85.00,3399.99,2020,1,28
11004,299,20190101,6,TO53379,9,272,85.00,3399.99,2019,1,1
11004,299,20190212,6,TO53379,9,272,85.00,3399.99,2019,2,12
11004,299,20190507,6,TO53379,9,272,85.00,3399.99,2019,5,7
11004,299,20191031,6,TO53379,9,272,85.00,3399.99,2019,10,31
11004,544,20190118,6,TO39687,9,272,85.00,3399.99,2019,1,18
11004,544,20190428,6,TO39687,9,272,85.00,3399.99,2019,4,28
11004,544,20190716,6,TO39687,9,272,85.00,3399.99,2019,7,16
11004,544,20190913,6,TO39687,9,272,85.00,3399.99,2019,9,13
11004,650,20190209,6,TO57175,9,272,85.00,3399.99,2019,2,9
11004,650,20190301,6,TO57175,9,272,85.00,3399.99,2019,3,1
11004,650,20190407,6,TO57175,9,272,85.00,3399.99,2019,4,7
11004,650,20191114,6,TO57175,9,272,85.00,3399.99,2019,11,14
11004,667,20190806,6,TO66127,9,272,85.00,3399.99,2019,8,6
11004,667,20190920,6,TO66127,9,272,85.00,3399.99,2019,9,20
11004,667,20190926,6,TO66127,9,272,85.00,3399.99,2019,9,26
11004,667,20191014,6,TO66127,9,272,85.00,3399.99,2019,10,14
11004,949,20190413,6,TO12440,9,272,85.00,3399.99,2019,4,13
11004,949,20190622,6,TO12440,9,272,85.00,3399.99,2019,6,22
11004,949,20190912,6,TO12440,9,272,85.00,3399.99,2019,9,12
11004,949,20191012,6,TO12440,9,272,85.00,3399.99,2019,10,12
11005,171,20190322,6,TO83094,9,270,84.37,3374.99,2019,3,22
11005,171,20190902,6,TO83094,9,270,84.37,3374.99,2019,9,2
11005,171,20190917,6,TO83094,9,270,84.37,3374.99,2019,9,17
11005,171,20191028,6,TO83094,9,270,84.37,3374.99,2019,10,28
11005,377,20190308,6,TO67019,9,270,84.37,3374.99,2019,3,8
11005,377,20190523,6,TO67019,9,270,84.37,3374.99,2019,5,23
11005,377,20191005,6,TO67019,9,270,84.37,3374.99,2019,10,5
11005,377,20191210,6,TO67019,9,270,84.37,3374.99,2019,12,10
11005,405,20190315,6,TO35405,9,270,84.37,3374.99,2019,3,15
11005,405,20190814,6,TO35405,9,270,84.37,3374.99,2019,8,14
11005,405,20191003,6,TO35405,9,270,84.37,3374.99,2019,10,3
11005,405,20191105,6,TO35405,9,270,84.37,3374.99,2019,11,5
11005,411,20190217,6,TO28852,9,270,84.37,3374.99,2019,2,17
11005,411,20190325,6,TO28852,9,270,84.37,3374.99,2019,3,25
11005,411,20190815,6,TO28852,9,270,84.37,3374.99,2019,8,15
11005,411,20191224,6,TO28852,9,270,84.37,3374.99,2019,12,24
11005,613,20190107,6,TO10715,9,270,84.37,3374.99,2019,1,7
11005,613,20190627,6,TO10715,9,270,84.37,3374.99,2019,6,27
11005,613,20190709,6,TO10715,9,270,84.37,3374.99,2019,7,9
11005,613,20200126,6,TO10715,9,270,84.37,3374.99,2020,1,26
11006,125,20190226,6,TO62289,9,272,85.00,3399.99,2019,2,26
11006,125,20190702,6,TO62289,9,272,85.00,3399.99,2019,7,2
11006,125,20191124,6,TO62289,9,272,85.00,3399.99,2019,11,24
11006,125,20191211,6,TO62289,9,272,85.00,3399.99,2019,12,11
11006,485,20190109,6,TO58984,9,272,85.00,3399.99,2019,1,9
11006,485,20190218,6,TO58984,9,272,85.00,3399.99,2019,2,18
11006,485,20190906,6,TO58984,9,272,85.00,3399.99,2019,9,6
11006,485,20191113,6,TO58984,9,272,85.00,3399.99,2019,11,13
11006,553,20190208,6,TO82206,9,272,85.00,3399.99,2019,2,8
11006,553,20190804,6,TO82206,9,272,85.00,3399.99,2019,8,4
11006,553,20200123,6,TO82206,9,272,85.00,3399.99,2020,1,23
11006,553,20200128,6,TO82206,9,272,85.00,3399.99,2020,1,28
11006,792,20190505,6,TO87096,9,272,85.00,3399.99,2019,5,5
11006,792,20190601,6,TO87096,9,272,85.00,3399.99,2019,6,1
11006,792,20190718,6,TO87096,9,272,85.00,3399.99,2019,7,18
11006,792,20190929,6,TO87096,9,272,85.00,3399.99,2019,9,29
11006,929,20190324,6,TO53020,9,272,85.00,3399.99,2019,3,24
11006,929,20190719,6,TO53020,9,272,85.00,3399.99,2019,7,19
11006,929,20190921,6,TO53020,9,272,85.00,3399.99,2019,9,21
11006,929,20191013,6,TO53020,9,272,85.00,3399.99,2019,10,13
11007,145,20190523,6,TO83491,9,272,85.00,3399.99,2019,5,23
11007,145,20190901,6,TO83491,9,272,85.00,3399.99,2019,9,1
11007,145,20190913,6,TO83491,9,272,85.00,3399.99,2019,9,13
11007,145,20191125,6,TO83491,9,272,85.00,3399.99,2019,11,25
11007,269,20190208,6,TO74121,9,272,85.00,3399.99,2019,2,8
11007,269,20190418,6,TO74121,9,272,85.00,3399.99,2019,4,18
11007,269,20190910,6,TO74121,9,272,85.00,3399.99,2019,9,10
11007,269,20200106,6,TO74121,9,272,85.00,3399.99,2020,1,6
11007,497,20190302,6,TO28743,9,272,85.00,3399.99,2019,3,2
11007,497,20190516,6,TO28743,9,272,85.00,3399.99,2019,5,16
11007,497,20190517,6,TO28743,9,272,85.00,3399.99,2019,5,17
